"";"Customer_ID";"EstimatedChurnProbability"
"4804";1009478;0
"11809";1023679;0
"7545";1015187;1
"24091";1048233;0
"16676";1033347;1
"19748";1039528;0
"18932";1037878;0
"16329";1032661;1
"1130";1002222;0
"7853";1015763;1
"12706";1025462;1
"2358";1004640;1
"9435";1018960;0
"19297";1038654;0
"8764";1017590;1
"20222";1040507;0
"1712";1003367;0
"5381";1010692;0
"22979";1046056;1
"5655";1011292;0
"22952";1045989;0
"20548";1041190;1
"4455";1008802;0
"22064";1044205;0
"434";1000799;1
"9157";1018426;1
"23714";1047518;0
"2061";1004049;1
"6971";1013986;1
"17268";1034530;0
"883";1001698;0
"2920";1005730;0
"24451";1048915;1
"3363";1006652;0
"809";1001539;0
"1546";1003045;0
"7212";1014493;0
"14751";1029558;0
"6845";1013719;1
"9060";1018203;0
"19368";1038805;0
"10026";1020114;0
"14197";1028461;0
"7148";1014367;1
"16499";1033006;1
"9525";1019135;0
"8328";1016654;1
"10469";1021002;0
"9761";1019612;0
"17111";1034242;1
"4762";1009388;1
"21223";1042548;1
"21306";1042721;1
"24676";1049413;1
"21305";1042719;0
"10446";1020948;0
"12973";1025975;1
"16898";1033830;1
"18141";1036243;1
"21046";1042187;1
"19280";1038616;1
"2132";1004199;0
"24277";1048551;0
"435";1000801;0
"22606";1045289;1
"2889";1005668;1
"18581";1037140;0
"1732";1003411;0
"17146";1034308;0
"10095";1020235;1
"16815";1033650;0
"12947";1025927;1
"20268";1040602;1
"24444";1048902;1
"16723";1033450;0
"2296";1004518;0
"10885";1021812;1
"15534";1031056;0
"647";1001211;1
"13629";1027325;0
"23193";1046484;0
"22705";1045478;0
"19520";1039068;1
"14989";1030007;0
"12055";1024180;1
"5584";1011137;0
"14567";1029169;1
"13810";1027712;0
"2824";1005545;0
"12486";1025025;0
"4293";1008461;1
"5106";1010104;0
"5960";1011915;0
"10837";1021721;0
"3719";1007340;1
"9448";1018982;0
"16698";1033391;0
"5487";1010942;1
"1760";1003467;0
"13878";1027831;0
"12728";1025510;1
"15147";1030306;1
"14308";1028665;0
"24436";1048880;1
"7124";1014312;0
"4197";1008264;0
"22647";1045363;0
"14127";1028328;1
"3648";1007189;1
"19570";1039157;0
"20060";1040156;1
"17520";1035025;0
"2433";1004773;1
"9252";1018607;0
"16625";1033243;0
"5807";1011598;0
"20647";1041392;1
"6952";1013951;0
"21513";1043114;1
"4865";1009616;0
"12205";1024495;0
"17787";1035545;0
"15466";1030926;1
"21022";1042134;1
"11163";1022360;0
"24866";1049803;1
"24101";1048246;0
"19432";1038913;0
"20062";1040164;0
"17292";1034579;1
"12984";1026012;0
"15048";1030126;1
"4109";1008091;1
"10512";1021096;1
"19467";1038967;0
"20713";1041518;1
"5643";1011265;0
"16953";1033930;1
"23299";1046698;0
"2949";1005796;0
"21043";1042183;0
"17428";1034840;0
"21148";1042386;1
"14057";1028182;0
"22338";1044751;1
"17080";1034169;1
"17361";1034704;1
"5589";1011147;1
"13130";1026316;1
"19630";1039273;0
"23400";1046887;0
"798";1001522;1
"2902";1005688;0
"16855";1033734;1
"12861";1025740;1
"3481";1006876;0
"5021";1009921;1
"19468";1038968;1
"10967";1021986;1
"15564";1031121;1
"19804";1039650;0
"7417";1014908;1
"21008";1042110;0
"10302";1020639;0
"15997";1031957;0
"22241";1044562;0
"11389";1022796;0
"11092";1022238;0
"10925";1021894;1
"16031";1032021;0
"1013";1002007;0
"12064";1024200;0
"19658";1039330;0
"11444";1022900;0
"19414";1038885;1
"1753";1003453;1
"24939";1049937;1
"6310";1012586;0
"10506";1021085;1
"2669";1005236;1
"23677";1047441;0
"24931";1049924;1
"4679";1009229;1
"18850";1037697;0
"6470";1012930;1
"12040";1024156;1
"5470";1010897;0
"9483";1019049;1
"8565";1017187;1
"21711";1043490;0
"13951";1027965;0
"21810";1043669;0
"22709";1045483;1
"7606";1015303;0
"12794";1025617;1
"24709";1049489;0
"18344";1036665;1
"17138";1034295;1
"8773";1017611;1
"19259";1038578;0
"21624";1043322;0
"22791";1045662;0
"1637";1003219;0
"1331";1002630;0
"5819";1011613;0
"19827";1039705;1
"22117";1044296;1
"7702";1015474;1
"2106";1004139;0
"20173";1040396;1
"619";1001157;0
"8144";1016317;1
"226";1000429;1
"20910";1041918;1
"14249";1028559;0
"19327";1038723;0
"18758";1037497;1
"14376";1028798;0
"1070";1002115;1
"13230";1026515;1
"14346";1028737;0
"16687";1033374;1
"10715";1021460;1
"4494";1008878;1
"21386";1042864;1
"462";1000861;0
"12886";1025808;0
"1899";1003743;0
"17651";1035300;1
"24076";1048208;1
"4124";1008120;0
"17337";1034659;1
"18881";1037767;0
"11438";1022889;0
"4871";1009622;1
"11657";1023380;0
"14966";1029967;1
"1188";1002337;1
"7026";1014116;0
"10148";1020330;0
"22876";1045811;1
"24989";1050042;1
"18557";1037090;1
"10398";1020846;1
"24194";1048404;0
"17308";1034611;1
"11972";1024029;1
"21322";1042748;1
"13426";1026935;1
"9179";1018468;0
"21010";1042115;0
"20110";1040272;0
"3496";1006910;1
"13091";1026239;0
"25159";1050383;0
"16150";1032282;0
"15606";1031209;0
"20130";1040318;0
"2856";1005604;0
"22938";1045947;0
"9717";1019540;1
"21115";1042322;0
"3368";1006658;1
"14079";1028223;1
"10916";1021880;0
"1973";1003883;1
"23359";1046818;0
"5309";1010538;1
"18356";1036682;0
"3221";1006355;1
"17086";1034182;0
"21102";1042298;0
"3553";1007007;0
"13299";1026679;0
"8198";1016415;1
"2174";1004276;1
"21568";1043215;0
"6314";1012594;1
"18064";1036097;1
"18878";1037759;0
"11056";1022175;0
"11366";1022749;0
"18700";1037381;0
"8691";1017458;0
"11381";1022775;1
"5289";1010506;0
"493";1000917;1
"17698";1035385;1
"14999";1030027;0
"23494";1047090;1
"13251";1026563;1
"25150";1050366;1
"22908";1045883;0
"8937";1017947;0
"5749";1011470;0
"9256";1018617;0
"12379";1024820;1
"9861";1019791;0
"124";1000227;1
"3291";1006499;0
"11895";1023852;1
"2439";1004782;1
"10699";1021435;0
"11265";1022564;1
"23862";1047804;1
"7912";1015872;1
"10383";1020816;1
"5798";1011573;1
"4147";1008162;1
"7584";1015262;1
"21773";1043606;1
"14428";1028901;1
"6467";1012919;1
"11876";1023823;0
"12109";1024303;1
"17172";1034357;1
"22318";1044698;1
"4025";1007934;1
"13395";1026873;1
"20633";1041355;0
"24761";1049570;1
"23885";1047850;1
"8447";1016914;1
"14251";1028565;0
"12598";1025242;1
"7695";1015467;1
"20588";1041265;1
"13361";1026807;0
"2189";1004308;0
"10010";1020082;1
"10921";1021885;0
"4116";1008108;0
"15437";1030869;0
"6116";1012225;1
"8586";1017232;1
"16690";1033380;1
"7934";1015922;1
"8043";1016125;0
"22987";1046069;0
"6877";1013793;1
"3731";1007363;0
"11480";1022975;1
"11030";1022113;0
"3498";1006913;0
"22160";1044397;1
"15137";1030287;0
"6003";1011998;0
"16387";1032792;1
"16099";1032176;0
"20591";1041274;1
"15065";1030157;1
"17028";1034073;1
"21058";1042211;0
"14107";1028288;1
"23554";1047195;0
"6669";1013367;1
"804";1001531;0
"7551";1015194;0
"4286";1008444;1
"2798";1005491;1
"21956";1043996;1
"6072";1012135;1
"23810";1047728;1
"24032";1048126;0
"15552";1031098;1
"6191";1012367;1
"13768";1027625;1
"19465";1038965;0
"9079";1018246;0
"11560";1023172;1
"11378";1022769;1
"22312";1044690;0
"21498";1043085;0
"15477";1030941;1
"22216";1044509;0
"20764";1041616;1
"1203";1002375;0
"20593";1041278;0
"10634";1021315;0
"18245";1036449;1
"2964";1005826;0
"10278";1020591;1
"18366";1036705;1
"16334";1032670;0
"18808";1037599;0
"13983";1028046;0
"13733";1027546;1
"23022";1046138;1
"23417";1046924;1
"17359";1034700;0
"19772";1039586;0
"24538";1049076;1
"20750";1041591;1
"7439";1014960;0
"21311";1042726;0
"4994";1009872;1
"22304";1044669;1
"21673";1043413;0
"10072";1020195;0
"3768";1007445;1
"9055";1018190;1
"1739";1003424;0
"8366";1016745;0
"6026";1012047;0
"16783";1033591;0
"19863";1039780;0
"210";1000393;1
"13336";1026763;1
"15413";1030818;1
"1860";1003640;0
"10046";1020150;1
"14120";1028311;0
"4932";1009747;1
"25061";1050181;0
"7836";1015726;1
"8143";1016314;0
"15421";1030834;1
"5418";1010794;1
"3279";1006479;0
"3211";1006332;0
"3576";1007061;1
"6592";1013217;0
"24212";1048435;0
"8036";1016113;0
"4732";1009330;0
"2264";1004453;0
"5910";1011811;0
"20907";1041911;1
"9062";1018207;1
"9872";1019810;1
"5738";1011453;0
"6271";1012516;1
"13071";1026196;1
"11252";1022535;1
"292";1000539;1
"18531";1037032;1
"111";1000200;0
"3002";1005914;0
"20311";1040699;1
"13098";1026253;1
"258";1000480;0
"1900";1003744;0
"20355";1040783;0
"21584";1043245;0
"24820";1049699;1
"1818";1003571;1
"2009";1003946;1
"8574";1017211;1
"19211";1038480;1
"7405";1014879;0
"6929";1013901;1
"21450";1042997;1
"20843";1041778;1
"24128";1048295;0
"7095";1014261;0
"3821";1007551;0
"21569";1043216;1
"50";1000077;1
"5254";1010435;0
"23178";1046455;0
"7211";1014492;1
"846";1001612;1
"12219";1024521;1
"6763";1013558;0
"23693";1047470;0
"6899";1013847;0
"16208";1032418;1
"23381";1046853;0
"12452";1024972;1
"8279";1016556;1
"24261";1048529;1
"18680";1037337;0
"16379";1032768;1
"92";1000159;1
"20881";1041865;1
"22557";1045185;0
"473";1000884;0
"8526";1017105;0
"19960";1039962;1
"9026";1018131;0
"937";1001814;1
"11930";1023934;1
"12559";1025161;1
"5664";1011308;0
"8888";1017831;0
"24718";1049506;1
"7703";1015477;0
"13630";1027327;0
"15390";1030778;1
"18301";1036571;0
"5395";1010717;0
"14908";1029859;1
"24426";1048859;0
"14519";1029063;1
"3861";1007625;1
"19962";1039967;0
"21609";1043288;0
"4344";1008571;0
"5593";1011160;1
"4568";1009024;1
"14112";1028298;1
"23527";1047150;0
"17775";1035525;1
"22406";1044868;0
"8008";1016063;0
"6105";1012207;1
"16710";1033416;0
"24924";1049909;1
"6483";1012961;0
"16722";1033449;1
"1896";1003734;1
"415";1000763;1
"15876";1031725;0
"5572";1011113;1
"23070";1046235;0
"12770";1025572;0
"2044";1004016;1
"14898";1029834;0
"15069";1030165;1
"14091";1028243;0
"8682";1017445;1
"10662";1021365;1
"22692";1045447;0
"8889";1017835;0
"16565";1033111;1
"3202";1006311;0
"13386";1026858;1
"9844";1019756;0
"8371";1016756;0
"13236";1026531;0
"13525";1027131;0
"23319";1046742;1
"12606";1025261;1
"23114";1046318;0
"4740";1009350;0
"12704";1025460;0
"3646";1007186;0
"12355";1024765;1
"19044";1038120;0
"9120";1018339;1
"8413";1016837;1
"23617";1047322;1
"15610";1031214;0
"21761";1043587;0
"13592";1027251;0
"5324";1010560;1
"12472";1025001;1
"13816";1027723;0
"2427";1004765;0
"5716";1011400;0
"13672";1027411;0
"2349";1004621;1
"16904";1033844;1
"15646";1031295;0
"19257";1038576;1
"24774";1049602;1
"3029";1005979;0
"20661";1041421;0
"21576";1043232;1
"8138";1016306;1
"8315";1016625;1
"19295";1038650;1
"7757";1015587;1
"9986";1020036;0
"11697";1023447;1
"17000";1034012;1
"8622";1017309;1
"1056";1002097;1
"9807";1019677;0
"20930";1041953;1
"14180";1028425;0
"16793";1033612;1
"17959";1035886;0
"24497";1049002;0
"19780";1039605;0
"16802";1033628;0
"10782";1021608;0
"3410";1006738;0
"77";1000129;0
"9036";1018149;0
"24427";1048861;0
"394";1000713;0
"18450";1036876;0
"3984";1007848;0
"1436";1002827;1
"17505";1034998;0
"10478";1021019;0
"23309";1046724;0
"17131";1034281;0
"5715";1011399;0
"5515";1011005;0
"13540";1027157;1
"10013";1020089;1
"1434";1002824;1
"19511";1039047;1
"11759";1023569;0
"3390";1006691;1
"1559";1003068;1
"18522";1037022;1
"1544";1003040;0
"24071";1048203;0
"14690";1029420;1
"6744";1013510;1
"3805";1007522;1
"8497";1017030;0
"16917";1033864;0
"17038";1034100;0
"3994";1007867;0
"9149";1018411;0
"17040";1034104;0
"14105";1028285;1
"22691";1045442;1
"10353";1020749;0
"20094";1040233;0
"9812";1019690;0
"18458";1036888;0
"10219";1020463;1
"17709";1035408;0
"12925";1025879;0
"4664";1009204;0
"3715";1007335;0
"8054";1016141;1
"24258";1048523;0
"4998";1009877;1
"13956";1027975;1
"14746";1029549;1
"21387";1042866;0
"1476";1002908;1
"19514";1039053;0
"2582";1005076;1
"12239";1024557;1
"21244";1042586;1
"463";1000862;0
"24095";1048238;0
"20694";1041479;1
"12609";1025268;0
"20005";1040047;1
"25044";1050142;1
"15050";1030130;1
"10136";1020312;1
"20508";1041099;0
"5041";1009961;1
"16727";1033456;1
"8916";1017907;0
"12411";1024891;1
"22721";1045509;1
"4385";1008664;0
"7598";1015287;0
"4243";1008368;1
"23467";1047033;0
"15662";1031337;1
"18055";1036082;0
"4937";1009760;0
"25065";1050187;1
"691";1001320;0
"18425";1036820;1
"2426";1004764;1
"1925";1003788;0
"22875";1045810;0
"13683";1027429;0
"10646";1021335;1
"22909";1045884;1
"7234";1014540;1
"4384";1008663;0
"1285";1002539;0
"11591";1023226;1
"2493";1004905;0
"21753";1043572;0
"16819";1033656;0
"12847";1025713;0
"12695";1025440;1
"19056";1038147;0
"495";1000920;0
"235";1000445;1
"4493";1008877;0
"17459";1034902;1
"20288";1040646;1
"22204";1044483;1
"16518";1033040;1
"7896";1015842;0
"24064";1048184;0
"11048";1022158;0
"12574";1025189;0
"11641";1023347;0
"9365";1018821;0
"24494";1048997;0
"2410";1004738;0
"4288";1008451;0
"16286";1032578;1
"10822";1021687;0
"24588";1049201;0
"6943";1013933;1
"12485";1025024;1
"24943";1049945;1
"10118";1020283;1
"7648";1015389;1
"20807";1041712;1
"7049";1014155;0
"22564";1045197;0
"3320";1006557;0
"24257";1048520;0
"14478";1028988;1
"9267";1018643;1
"5197";1010296;0
"2179";1004289;0
"16098";1032175;0
"17270";1034534;0
"1531";1003020;0
"12729";1025511;0
"9719";1019545;0
"22681";1045425;0
"20649";1041398;0
"135";1000249;1
"15613";1031219;0
"24053";1048166;0
"7023";1014108;0
"22287";1044635;0
"3261";1006435;0
"352";1000644;1
"7927";1015908;1
"19479";1038991;1
"20369";1040816;0
"16659";1033306;0
"11472";1022959;0
"15014";1030058;1
"19137";1038335;0
"6170";1012330;0
"9175";1018464;0
"16114";1032206;1
"6789";1013614;1
"7158";1014395;1
"13469";1027021;1
"3678";1007255;1
"11164";1022361;1
"2573";1005065;0
"8990";1018052;1
"13902";1027871;1
"16745";1033497;1
"6675";1013377;1
"18070";1036103;1
"3608";1007116;1
"14311";1028670;1
"24623";1049261;0
"15075";1030176;1
"1521";1002999;1
"8818";1017703;0
"8779";1017619;0
"3946";1007770;1
"7220";1014507;1
"475";1000886;1
"9249";1018602;1
"17147";1034311;0
"9951";1019970;1
"14330";1028697;1
"18553";1037083;0
"10230";1020482;0
"12528";1025108;0
"3314";1006537;0
"16322";1032645;1
"17335";1034657;0
"6248";1012470;1
"9745";1019585;0
"7355";1014789;0
"1987";1003910;1
"9721";1019547;0
"14857";1029765;0
"5123";1010130;1
"1749";1003446;0
"8223";1016467;0
"21536";1043151;0
"3776";1007458;1
"25165";1050399;0
"16376";1032764;0
"6866";1013769;0
"3470";1006857;1
"19194";1038448;1
"14615";1029260;0
"16979";1033972;1
"4580";1009050;0
"1267";1002507;1
"7448";1014979;1
"1684";1003317;1
"7437";1014955;1
"11636";1023334;1
"20487";1041059;0
"5493";1010950;1
"15391";1030781;1
"1837";1003600;0
"7371";1014816;1
"23339";1046782;1
"290";1000536;1
"6051";1012090;0
"7477";1015040;0
"4350";1008583;1
"3006";1005920;1
"20454";1040993;0
"13142";1026339;0
"15268";1030538;0
"5239";1010401;0
"17613";1035223;1
"5912";1011815;0
"12905";1025842;0
"11042";1022138;0
"13323";1026741;1
"22344";1044759;1
"12604";1025255;0
"10077";1020202;1
"13929";1027930;1
"7571";1015231;0
"9563";1019219;1
"17843";1035667;1
"9453";1018996;0
"14256";1028576;1
"15645";1031293;0
"12375";1024812;0
"12784";1025597;0
"10100";1020245;0
"17012";1034030;0
"5144";1010173;0
"14499";1029024;0
"6206";1012388;0
"21816";1043680;0
"2091";1004119;1
"9271";1018651;1
"20177";1040400;1
"23938";1047952;0
"390";1000707;1
"7983";1016013;1
"11921";1023910;1
"8017";1016079;0
"14437";1028922;1
"19364";1038796;1
"2143";1004215;1
"6626";1013283;1
"6256";1012484;1
"5220";1010352;1
"13068";1026190;1
"9366";1018824;0
"24940";1049939;1
"14525";1029084;1
"17150";1034315;0
"22184";1044446;0
"24093";1048235;1
"2687";1005278;0
"18618";1037204;1
"795";1001515;0
"12087";1024259;1
"8943";1017956;0
"14001";1028081;0
"8836";1017734;0
"7210";1014490;1
"8164";1016347;0
"3190";1006287;1
"5460";1010876;1
"21159";1042415;1
"20364";1040803;0
"15192";1030394;1
"16599";1033175;0
"14299";1028649;0
"7656";1015404;1
"17769";1035513;1
"13574";1027217;0
"3196";1006297;1
"6640";1013307;0
"22010";1044099;1
"16735";1033471;1
"7019";1014095;0
"4181";1008229;1
"21268";1042642;0
"1492";1002943;1
"12764";1025561;1
"23742";1047587;0
"16648";1033286;1
"6960";1013964;0
"939";1001821;1
"20412";1040901;0
"13606";1027276;0
"14367";1028776;0
"20665";1041427;1
"15852";1031684;1
"22112";1044288;0
"9050";1018177;0
"14123";1028318;1
"11165";1022363;1
"22296";1044649;1
"1564";1003077;1
"1406";1002766;1
"1360";1002683;1
"9559";1019214;1
"24662";1049366;0
"11006";1022057;1
"3113";1006147;1
"18502";1036975;0
"9350";1018797;1
"7557";1015204;0
"24365";1048736;0
"25069";1050194;1
"18830";1037651;0
"17042";1034106;1
"24421";1048850;0
"6097";1012191;1
"2158";1004249;1
"4278";1008424;1
"11263";1022558;0
"10244";1020517;1
"6535";1013089;0
"2095";1004126;1
"23943";1047959;1
"7781";1015625;1
"22731";1045538;0
"9083";1018259;0
"25043";1050139;0
"18665";1037303;1
"2850";1005589;1
"15682";1031372;0
"13601";1027269;0
"19448";1038939;0
"10000";1020063;1
"1556";1003063;1
"9393";1018874;0
"23755";1047613;1
"6567";1013164;0
"24773";1049601;0
"19945";1039931;1
"20788";1041678;0
"5156";1010208;0
"15142";1030297;0
"3653";1007200;1
"19423";1038897;1
"18109";1036189;1
"24249";1048499;0
"17479";1034935;0
"23470";1047043;1
"21405";1042908;1
"20527";1041139;1
"9257";1018619;1
"24550";1049107;0
"22440";1044930;0
"24423";1048856;0
"7413";1014899;0
"4346";1008575;0
"15207";1030415;0
"4797";1009464;0
"12321";1024692;1
"23892";1047865;0
"13908";1027883;0
"23401";1046890;0
"14242";1028545;1
"1086";1002138;1
"14263";1028589;0
"10933";1021904;0
"14877";1029798;1
"20377";1040828;0
"16835";1033694;1
"2689";1005283;1
"1526";1003010;1
"6562";1013146;1
"10738";1021511;0
"3338";1006596;0
"24363";1048731;0
"11498";1023027;1
"18633";1037236;0
"3639";1007178;1
"24253";1048511;0
"602";1001123;0
"22012";1044102;1
"15423";1030840;1
"23650";1047388;1
"3749";1007406;0
"17895";1035770;0
"1226";1002419;0
"9021";1018119;1
"12747";1025538;0
"3274";1006469;1
"22135";1044346;0
"3236";1006384;1
"9117";1018332;0
"12583";1025213;1
"16567";1033113;0
"8710";1017497;1
"22897";1045862;0
"3822";1007553;0
"8830";1017722;1
"4231";1008343;0
"11558";1023168;1
"13300";1026682;1
"13358";1026803;1
"7339";1014752;1
"1615";1003168;0
"16188";1032372;1
"1214";1002397;0
"1329";1002627;0
"17962";1035894;1
"9838";1019743;0
"20323";1040720;0
"7897";1015843;0
"20589";1041267;0
"4285";1008443;0
"17255";1034503;1
"13588";1027238;0
"22233";1044548;0
"8185";1016389;0
"7984";1016015;1
"7436";1014952;0
"17722";1035434;1
"3862";1007626;0
"16507";1033019;0
"12842";1025699;0
"11414";1022840;1
"3930";1007744;0
"24661";1049364;0
"15312";1030622;0
"22893";1045851;0
"24507";1049019;1
"17381";1034739;0
"7042";1014144;1
"21298";1042703;1
"19204";1038470;0
"24131";1048301;1
"3103";1006120;1
"4887";1009663;1
"15240";1030478;0
"7699";1015471;0
"2443";1004794;0
"5038";1009958;0
"9477";1019041;1
"18435";1036838;0
"24585";1049189;1
"9653";1019409;0
"4973";1009826;0
"20303";1040678;1
"18487";1036953;1
"23137";1046368;1
"19274";1038604;1
"21178";1042463;1
"6101";1012199;1
"14232";1028522;0
"4999";1009879;1
"16149";1032281;0
"12592";1025231;1
"874";1001681;1
"3896";1007685;0
"8426";1016868;0
"9604";1019303;0
"17394";1034759;1
"15379";1030757;0
"6835";1013697;0
"9439";1018966;1
"4734";1009333;0
"9964";1019989;0
"10386";1020821;0
"3329";1006577;1
"3464";1006845;1
"7467";1015017;0
"9170";1018453;1
"8060";1016149;1
"15880";1031739;0
"19384";1038834;1
"926";1001794;0
"13095";1026248;1
"13580";1027225;1
"7640";1015370;1
"22741";1045556;0
"20013";1040058;0
"8534";1017123;1
"4722";1009314;0
"700";1001335;0
"10371";1020790;0
"5092";1010079;1
"4180";1008227;1
"23555";1047197;0
"2823";1005544;1
"12381";1024822;0
"20742";1041574;1
"10080";1020212;0
"14006";1028092;0
"24281";1048559;1
"20752";1041594;0
"20674";1041443;1
"271";1000504;1
"10049";1020159;0
"8871";1017807;0
"10341";1020722;1
"17529";1035038;1
"20687";1041470;0
"1617";1003173;0
"23034";1046160;1
"7843";1015738;0
"8911";1017899;1
"24153";1048339;1
"4238";1008358;1
"12276";1024618;1
"8107";1016238;1
"19244";1038555;0
"18526";1037027;1
"1689";1003323;1
"6600";1013240;1
"17637";1035274;1
"15892";1031760;1
"17748";1035481;1
"23977";1048018;1
"20945";1041980;1
"7900";1015847;1
"459";1000856;0
"4475";1008841;1
"23227";1046556;0
"14706";1029458;0
"1036";1002054;0
"12076";1024226;1
"15749";1031499;1
"362";1000659;1
"16644";1033277;1
"20145";1040342;1
"20532";1041146;1
"8178";1016375;0
"8177";1016374;0
"17400";1034770;0
"4677";1009225;1
"24278";1048554;0
"5357";1010644;0
"16120";1032215;0
"22433";1044919;1
"13492";1027072;1
"1251";1002475;0
"19592";1039202;0
"2942";1005775;1
"3339";1006597;0
"8354";1016712;1
"10597";1021249;0
"3171";1006258;1
"17619";1035238;1
"10350";1020743;0
"15063";1030153;1
"23682";1047448;0
"1690";1003325;0
"15882";1031743;0
"17904";1035789;1
"4353";1008589;0
"20324";1040721;1
"20738";1041568;1
"7704";1015479;1
"14660";1029344;0
"23948";1047965;0
"18765";1037513;1
"17816";1035602;0
"7348";1014776;1
"12901";1025836;0
"18614";1037197;0
"22873";1045808;0
"8819";1017706;0
"21967";1044019;1
"87";1000146;1
"12304";1024666;1
"17707";1035400;1
"2482";1004887;1
"9051";1018179;0
"6511";1013046;1
"6339";1012652;0
"8128";1016288;0
"24562";1049141;1
"5388";1010709;1
"15017";1030063;0
"14030";1028141;1
"10529";1021127;1
"12565";1025169;1
"19336";1038737;1
"1622";1003183;1
"9859";1019789;1
